ZTFID,IAUID,host_redshift
ZTF19aartuli,SN2019dzo,0.05
ZTF19aartylj,SN2019eef,0.07
ZTF19aasfsoi,SN2019eks,0.048
ZTF19aasmkhn,SN2019eqh,0.1
ZTF19aassqix,SN2019eid,0.05
ZTF19aatgrpm,SN2019eod,0.08033
ZTF19aatgrxl,SN2019enu,0.062
ZTF19aatgrxv,SN2019ens,0.04
ZTF19aatgwhs,SN2019eiy,0.041028
ZTF19aathcvn,SN2019eok,0.04
ZTF19aatlmbo,SN2019ein,0.00775
ZTF19aatnfvj,SN2019ewi,0.0835
ZTF19aaugoig,SN2019evf,0.0509
ZTF19aauguzk,SN2019evg,0.0536
ZTF19aauhhjy,SN2019fcq,0.0682
ZTF19aauhwbp,SN2019fch,0.03942
ZTF19aauitks,SN2019fcm,0.098
ZTF19aauivtj,SN2019faq,0.07
ZTF19aaujiwc,SN2019evz,0.038
ZTF19aaujzqh,SN2019fdc,0.0426
ZTF19aaulzvc,SN2019ewz,0.07
ZTF19aaumvig,SN2019fdf,0.049
ZTF19aauoulb,SN2019fjt,0.05362
ZTF19aaupkev,SN2019flf,0.09
ZTF19aaupkrl,SN2019fcx,0.036665
ZTF19aauplxw,SN2019fcw,0.087
ZTF19aauqywe,SN2019ffm,0.058
ZTF19aaurhox,SN2019fju,0.07
ZTF19aaurstb,SN2019gcg,0.05
ZTF19aauvjws,SN2019fyf,0.09351
ZTF19aauxmqj,SN2019fxs,0.07
ZTF19aavhxby,SN2019fzm,0.023129
ZTF19aavhypb,SN2019fyj,0.068
ZTF19aavhzsc,SN2019gaj,0.04
ZTF19aavissk,SN2019fxu,0.04
ZTF19aavitlq,SN2019gip,0.031462
ZTF19aavivbl,SN2019gvj,0.09
ZTF19aavkhuy,SN2019fpf,0.03
ZTF19aavlfvn,SN2019gau,0.0277
ZTF19aavmgtv,SN2019gcm,0.0292
ZTF19aavmlqh,SN2019gbq,0.08
ZTF19aavnwxf,SN2019gci,0.0469
ZTF19aavnwyt,SN2019gcj,0.04616
ZTF19aavnxwj,SN2019giu,0.08
ZTF19aavoiyc,SN2019gjq,0.047
ZTF19aavounq,SN2019gel,0.0763
ZTF19aavrswr,SN2019gcw,0.035
ZTF19aavsahh,SN2019giy,0.063
ZTF19aavsyhq,SN2019gis,0.04
ZTF19aavvozj,SN2019gxt,0.1
ZTF19aavxpbx,SN2019geq,0.07
ZTF19aawafvn,SN2019gwb,0.074
ZTF19aawfcgp,SN2019gcd,0.019513
ZTF19aawgfnn,SN2019gsh,0.053
ZTF19aawhniz,SN2019gvw,0.0713
ZTF19aawmkja,SN2019gwf,0.04
ZTF19aawmqtd,SN2019gwg,0.057
ZTF19aawnqoj,SN2019gxg,0.07
ZTF19aawqckx,SN2019gxi,0.034
ZTF19aawyepw,SN2019hax,0.06
ZTF19aaxeetj,SN2019hib,0.0551
ZTF19aaxfzao,SN2019hgw,0.037
ZTF19aaxhysx,SN2019gwn,0.083
ZTF19aaxibby,SN2019hbs,0.056
ZTF19aaxibpz,SN2019gwx,0.065
ZTF19aaxqsbn,SN2019gzd,0.057
ZTF19aaxyukr,SN2019hgl,0.087
ZTF19aayabqe,SN2019hep,0.033
ZTF19aayckwk,SN2019hsz,0.086
ZTF19aayfaum,SN2019hez,0.0113
ZTF19aayjqpa,SN2019hnn,0.08
