ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V,host_redshift
ZTF18aawqjjj,SN2024eui,10:52:51.36,+37:25:37.0,60397.41,r,18.9776,-18.95,>29.179,>7.06,22.119,SN Ia,0.0868,63.04663333,0.04,0.0868
ZTF18aawrotg,SN2025ikg,15:13:01.52,+34:39:56.9,60806.3,r,18.4248,-19.1,27.814,12.509,15.305,SN Ia,0.07177,58.87667627,0.054,0.07177
ZTF18aawseij,SN2023nnl,17:07:50.29,+41:07:21.5,60153.27,r,17.9402,-19.27,26.943,8.967,17.976,SN Ia,0.0617,36.35134653,0.074,0.0617
ZTF18aawurud,SN2018eaz,18:42:55.23,+50:39:33.6,58332.31,r,17.769,-19.04,29.558,15.487,14.071,SN Ia,0.05,21.93902768,0.153,0.05
ZTF18aawxahl,SN2025bg,10:26:01.74,+21:35:38.1,60693.47,r,17.7447,-18.62,>12.536,12.476,>0.06,SN Ia,0.04228,56.54228194,0.059,0.04228
ZTF18aawzens,SN2022pqw,15:28:01.71,+29:37:52.5,59797.25,g,18.5637,-19.53,22.078,10.086,11.992,SN Ia,0.091,55.62807208,0.078,0.091
ZTF18aaxcfbt,SN2018ced,10:58:27.09,+51:41:44.9,58279.18,r,18.1086,-19.31,32.759,10.777,21.982,SN Ia,0.0689,57.54166269,0.034,0.0689
ZTF18aaxcntm,SN2018ccl,16:28:11.13,+39:49:12.4,58278.35,g,16.8016,-18.55,20.273,7.386,12.887,SN Ia,0.02679,43.78760888,0.026,0.026792
ZTF18aaxdrjn,SN2018cdt,12:20:01.64,+56:09:31.9,58279.2,g,16.9287,-18.97,20.422,7.947,12.475,SN Ia,0.0339,60.42546162,0.057,0.0339
ZTF18aaxeoqk,SN2019aarm,14:26:36.58,+15:24:06.3,60060.38,g,16.7247,-19.52,22.798,7.213,15.585,SN Ia,0.0396,64.98599633,0.065,0.0396
ZTF18aaxgwpl,SN2019aaoz,17:03:09.88,+59:39:36.6,59849.13,r,18.1202,-18.8,17.066,7.985,9.081,SN Ia,0.05453,36.73458345,0.051,0.054538
ZTF18aaxhcam,SN2024fjp,18:06:15.02,+45:06:49.9,60418.43,g,15.5155,-20.27,19.989,7.371,12.618,SN Ia,0.03143,26.4940677,0.1,0.03143
ZTF18aaxkjmm,SN2018cng,15:45:29.12,+35:51:18.7,58278.27,r,18.2341,-19.12,25.199,9.953,15.246,SN Ia,0.0661,52.20647138,0.069,0.0661
ZTF18aaxmhvk,SN2018cne,16:18:42.71,+40:04:21.3,58290.33,r,18.561,-19.17,23.751,16.395,7.356,SN Ia,0.08,45.60519924,0.016,0.08
ZTF18aaxokeg,SN2019ejo,13:01:55.30,+22:46:16.6,58616.17,r,17.7061,-18.15,27.39,10.351,17.039,SN Ia,0.0336,85.03748517,0.056,0.0336
ZTF18aaxqyki,SN2018cnz,15:30:18.27,+57:39:30.5,58284.25,g,18.7798,-19.49,25.508,8.25,17.258,SN Ia,0.1,48.71900633,0.049,0.1
ZTF18aaxsioa,SN2018cfa,16:49:39.10,+45:29:32.2,58284.26,g,16.8488,-18.78,20.023,6.673,13.35,SN Ia,0.03,39.8913892,0.055,0.03
ZTF18aaxvpsw,SN2018cof,14:59:54.39,+39:04:43.6,58288.23,g,18.6502,-19.41,23.915,11.003,12.912,SN Ia,0.0916,60.7619007,0.034,0.0916
ZTF18aaxwjmp,SN2018coe,16:51:37.36,+61:32:43.3,58290.2,g,18.6893,-19.15,23.712,11.884,11.828,SN Ia,0.08,37.77977186,0.097,0.08
ZTF18aaybfsd,SN2020cbf,15:22:51.93,+38:26:58.4,58903.51,r,17.0545,-19.18,24.045,13.104,10.941,SN Ia,0.04,56.4969718,0.045,0.04013
ZTF18aaydmkh,SN2018coh,17:20:38.66,+52:02:31.0,58284.32,r,18.7378,-19.17,27.072,5.995,21.077,SN Ia,0.0845,34.80364779,0.082,0.0845
ZTF18aayiahw,SN2018cts,13:59:14.00,+28:32:26.7,58291.24,r,18.8326,-18.41,>26.155,11.225,>14.93,SN Ia,0.06368,74.95839796,0.037,0.06368
ZTF18aayidfz,SN2018cvd,13:14:40.26,+24:00:20.7,58288.2,g,18.4743,-18.89,21.454,8.415,13.039,SN Ia,0.067,83.90186114,0.029,0.067
ZTF18aayjvve,SN2018cny,15:04:16.60,+35:48:54.1,58294.27,r,17.5905,-19.0,28.566,12.029,16.537,SN Ia,0.04727,60.53488488,0.04,0.04727
ZTF18aayjyub,SN2018cod,13:20:27.97,+62:18:02.9,58294.21,g,17.1163,-18.53,27.548,11.871,15.677,SN Ia,0.03,54.49927769,0.068,0.03
ZTF18aayyqia,SN2020lqq,11:57:42.98,+44:40:32.1,59013.23,g,18.1945,-19.24,24.39,11.406,12.984,SN Ia,0.0691,69.41670611,0.034,0.0691
ZTF18aazabmh,SN2018crr,16:59:37.23,+59:04:23.8,58293.26,r,18.7863,-18.76,24.711,13.246,11.465,SN Ia,0.073,37.27004919,0.041,0.073
ZTF18aazblzy,SN2018cri,16:11:21.47,+36:59:39.4,58290.21,g,18.2576,-19.01,18.735,6.689,12.046,SN Ia,0.064,47.01111287,0.037,0.064
ZTF18aazhwnh,SN2018cua,15:32:03.55,+23:31:01.3,58291.26,r,18.9016,-19.21,>18.157,6.237,>11.92,SN Ia,0.0907,53.67472251,0.139,0.0907
ZTF18aazixbw,SN2018coi,16:18:57.97,+56:43:00.7,58293.2,g,18.2918,-18.81,22.027,10.036,11.991,SN Ia,0.0594,43.05295984,0.029,0.0594
ZTF18aazjqil,SN2025bvd,15:02:47.83,+34:51:38.7,60725.42,g,17.7615,-19.25,>13.692,>3.93,9.762,SN Ia,0.057,60.95077571,0.037,0.057
ZTF18aazjztm,SN2018crs,17:20:24.39,+55:12:52.7,58290.24,g,18.6315,-18.99,23.341,7.376,15.965,SN Ia,0.072,34.81392435,0.113,0.072
ZTF18aazsabq,SN2018crn,18:55:21.83,+56:35:18.2,58293.33,r,18.2337,-18.58,20.04,8.082,11.958,SN Ia,0.05,21.85345777,0.161,0.05
